date,phase,horizon_months,fold,selected_model,ensemble_return_forecast,prob_positive,q10_floor_return,buy_signal,buy_signal_any,signal_count_per_fold,fold_count,avg_actual_return,strategy_return,actual_net_return,prob_threshold,q10_floor
2023-05-10,validation,1,1,sarimax_exog,-0.0248639093470996,0.2891569475858309,-0.0423719411871468,False,False,0,1,-0.0081967213114754,0.0,-0.0081967213114754,0.5,-0.1
2023-05-11,validation,1,1,sarimax_exog,-0.0243988801213238,0.2927209163548155,-0.0462915376470307,False,False,0,1,-0.0104089219330855,0.0,-0.0104089219330855,0.5,-0.1
2023-05-12,validation,1,1,sarimax_exog,-0.0251948963822359,0.2866327678990711,-0.0433797558705834,False,False,0,1,-0.0096798212956068,0.0,-0.0096798212956068,0.5,-0.1
2023-05-13,validation,1,1,sarimax_exog,-0.0252297959461059,0.2863672263635273,-0.0434250441144446,False,False,0,1,-0.0111524163568773,0.0,-0.0111524163568773,0.5,-0.1
2023-05-14,validation,1,1,sarimax_exog,-0.0252364540221702,0.2863165800934429,-0.0426876679233823,False,False,0,1,-0.0104089219330855,0.0,-0.0104089219330855,0.5,-0.1
2023-05-15,validation,1,1,sarimax_exog,-0.0249606432193923,0.288418153693337,-0.043224315859007,False,False,0,1,-0.0104089219330855,0.0,-0.0104089219330855,0.5,-0.1
2023-05-16,validation,1,1,sarimax_exog,-0.0246354030194371,0.2909056629892816,-0.0430030962989598,False,False,0,1,-0.0089352196574832,0.0,-0.0089352196574832,0.5,-0.1
2023-05-17,validation,1,1,sarimax_exog,-0.024665982047661,0.290671361274417,-0.0438949222514929,False,False,0,1,-0.0089418777943368,0.0,-0.0089418777943368,0.5,-0.1
2023-05-18,validation,1,1,sarimax_exog,-0.0246717067408986,0.2906275075122742,-0.0431622846664734,False,False,0,1,-0.0096798212956068,0.0,-0.0096798212956068,0.5,-0.1
2023-05-19,validation,1,1,sarimax_exog,-0.0249365712959236,0.2886019170773674,-0.0420345966020607,False,False,0,1,-0.011895910780669,0.0,-0.011895910780669,0.5,-0.1
2023-05-20,validation,1,1,sarimax_exog,-0.0245487919929855,0.2915697700040269,-0.040210416548471,False,False,0,1,-0.0133531157270029,0.0,-0.0133531157270029,0.5,-0.1
2023-05-21,validation,1,1,sarimax_exog,-0.0245539501118576,0.2915301993269139,-0.0410805080642826,False,False,0,1,-0.0148367952522254,0.0,-0.0148367952522254,0.5,-0.1
2023-05-22,validation,1,1,sarimax_exog,-0.0247482839245258,0.2900411891858218,-0.0409267448563272,False,False,0,1,-0.0119047619047618,0.0,-0.0119047619047618,0.5,-0.1
2023-05-23,validation,1,1,sarimax_exog,-0.0243625927939797,0.292999877193249,-0.0413097233694145,False,False,0,1,-0.0119047619047618,0.0,-0.0119047619047618,0.5,-0.1
2023-05-24,validation,1,1,sarimax_exog,-0.0235582554500759,0.2992146803526698,-0.0425907218891183,False,False,0,1,-0.0119047619047618,0.0,-0.0119047619047618,0.5,-0.1
