model,horizon_days,fold,phase,mae,rmse,directional_accuracy,pinball_loss
sklearn_gbr_q05,105,2,validation,,,,0.014846509918036863
sklearn_gbr_q10,105,2,validation,,,,0.01868461677299733
sklearn_gbr_q50,105,2,validation,,,,0.03481340755557651
sklearn_gbr_q90,105,2,validation,,,,0.01997561451293478
lightgbm_q10,105,2,validation,,,,0.029466583706934918
catboost_q10,105,2,validation,,,,0.034224990618939
ridge,105,3,test,0.11878397081665279,0.15989597740483133,0.8493150684931506,
elastic_net,105,3,test,0.16073571231760111,0.18088271673041964,0.7835616438356164,
random_forest,105,3,test,0.1003823489040116,0.12139690617780148,0.9945205479452055,
lightgbm_mean,105,3,test,0.09143715321467574,0.10981838496971841,0.9945205479452055,
xgboost_mean,105,3,test,0.12370391614308134,0.14138850125332725,0.9945205479452055,
catboost_mean,105,3,test,0.12687274164791093,0.14499337771279497,0.9945205479452055,
sklearn_gbr_q05,105,3,test,,,,0.013559004369109548
sklearn_gbr_q10,105,3,test,,,,0.027545141887869908
sklearn_gbr_q50,105,3,test,,,,0.07564101116097427
sklearn_gbr_q90,105,3,test,,,,0.049407094107313136
lightgbm_q10,105,3,test,,,,0.027201065685887222
catboost_q10,105,3,test,,,,0.023071793732755735
ridge,105,4,test,0.2085250738968786,0.2238028906477226,0.20689655172413793,
elastic_net,105,4,test,0.2191061332239195,0.23641749784511829,0.19540229885057472,
random_forest,105,4,test,0.2198225484675148,0.24095452468025697,0.19540229885057472,
lightgbm_mean,105,4,test,0.18772331510206747,0.213393967843906,0.19540229885057472,
xgboost_mean,105,4,test,0.21732596058908554,0.2391856150413709,0.19540229885057472,
catboost_mean,105,4,test,0.22492383984592096,0.24368547431090778,0.19540229885057472,
sklearn_gbr_q05,105,4,test,,,,0.09973823374602453
sklearn_gbr_q10,105,4,test,,,,0.12396384544769543
sklearn_gbr_q50,105,4,test,,,,0.11063167694351679
sklearn_gbr_q90,105,4,test,,,,0.02984431792752718
lightgbm_q10,105,4,test,,,,0.16234504719507734
catboost_q10,105,4,test,,,,0.1544935356113778
