effective_from,effective_to,event_date,event_type,expected_channel,note,scope,severity,source_url
,,2022-01-31,tet_proximity,premium_spike,Tết proximity (Tết 2022: 2022-02-01),domestic_vietnam,high,
,,2022-02-01,tet_proximity,premium_spike,Tết proximity (Tết 2022: 2022-02-01),domestic_vietnam,high,
,,2023-01-08,tet_proximity,premium_spike,Tết proximity (Tết 2023: 2023-01-22),domestic_vietnam,low,
,,2023-01-09,tet_proximity,premium_spike,Tết proximity (Tết 2023: 2023-01-22),domestic_vietnam,low,
,,2023-01-10,tet_proximity,premium_spike,Tết proximity (Tết 2023: 2023-01-22),domestic_vietnam,low,
,,2023-01-11,tet_proximity,premium_spike,Tết proximity (Tết 2023: 2023-01-22),domestic_vietnam,low,
,,2023-01-12,tet_proximity,premium_spike,Tết proximity (Tết 2023: 2023-01-22),domestic_vietnam,low,
,,2023-01-13,tet_proximity,premium_spike,Tết proximity (Tết 2023: 2023-01-22),domestic_vietnam,medium,
,,2023-01-14,tet_proximity,premium_spike,Tết proximity (Tết 2023: 2023-01-22),domestic_vietnam,medium,
,,2023-01-15,tet_proximity,premium_spike,Tết proximity (Tết 2023: 2023-01-22),domestic_vietnam,medium,
,,2023-01-16,tet_proximity,premium_spike,Tết proximity (Tết 2023: 2023-01-22),domestic_vietnam,medium,
,,2023-01-17,tet_proximity,premium_spike,Tết proximity (Tết 2023: 2023-01-22),domestic_vietnam,high,
,,2023-01-18,tet_proximity,premium_spike,Tết proximity (Tết 2023: 2023-01-22),domestic_vietnam,high,
,,2023-01-19,tet_proximity,premium_spike,Tết proximity (Tết 2023: 2023-01-22),domestic_vietnam,high,
,,2023-01-20,tet_proximity,premium_spike,Tết proximity (Tết 2023: 2023-01-22),domestic_vietnam,high,
,,2023-01-21,tet_proximity,premium_spike,Tết proximity (Tết 2023: 2023-01-22),domestic_vietnam,high,
,,2023-01-22,tet_proximity,premium_spike,Tết proximity (Tết 2023: 2023-01-22),domestic_vietnam,high,
,,2024-01-27,tet_proximity,premium_spike,Tết proximity (Tết 2024: 2024-02-10),domestic_vietnam,low,
,,2024-01-28,tet_proximity,premium_spike,Tết proximity (Tết 2024: 2024-02-10),domestic_vietnam,low,
,,2024-01-29,tet_proximity,premium_spike,Tết proximity (Tết 2024: 2024-02-10),domestic_vietnam,low,
,,2024-01-30,tet_proximity,premium_spike,Tết proximity (Tết 2024: 2024-02-10),domestic_vietnam,low,
,,2024-01-31,tet_proximity,premium_spike,Tết proximity (Tết 2024: 2024-02-10),domestic_vietnam,low,
,,2024-02-01,tet_proximity,premium_spike,Tết proximity (Tết 2024: 2024-02-10),domestic_vietnam,medium,
,,2024-02-02,tet_proximity,premium_spike,Tết proximity (Tết 2024: 2024-02-10),domestic_vietnam,medium,
,,2024-02-03,tet_proximity,premium_spike,Tết proximity (Tết 2024: 2024-02-10),domestic_vietnam,medium,
,,2024-02-04,tet_proximity,premium_spike,Tết proximity (Tết 2024: 2024-02-10),domestic_vietnam,medium,
,,2024-02-05,tet_proximity,premium_spike,Tết proximity (Tết 2024: 2024-02-10),domestic_vietnam,high,
,,2024-02-06,tet_proximity,premium_spike,Tết proximity (Tết 2024: 2024-02-10),domestic_vietnam,high,
,,2024-02-07,tet_proximity,premium_spike,Tết proximity (Tết 2024: 2024-02-10),domestic_vietnam,high,
,,2024-02-08,tet_proximity,premium_spike,Tết proximity (Tết 2024: 2024-02-10),domestic_vietnam,high,
,,2024-02-09,tet_proximity,premium_spike,Tết proximity (Tết 2024: 2024-02-10),domestic_vietnam,high,
,,2024-02-10,tet_proximity,premium_spike,Tết proximity (Tết 2024: 2024-02-10),domestic_vietnam,high,
,,2025-01-15,tet_proximity,premium_spike,Tết proximity (Tết 2025: 2025-01-29),domestic_vietnam,low,
,,2025-01-16,tet_proximity,premium_spike,Tết proximity (Tết 2025: 2025-01-29),domestic_vietnam,low,
,,2025-01-17,tet_proximity,premium_spike,Tết proximity (Tết 2025: 2025-01-29),domestic_vietnam,low,
,,2025-01-18,tet_proximity,premium_spike,Tết proximity (Tết 2025: 2025-01-29),domestic_vietnam,low,
,,2025-01-19,tet_proximity,premium_spike,Tết proximity (Tết 2025: 2025-01-29),domestic_vietnam,low,
,,2025-01-20,tet_proximity,premium_spike,Tết proximity (Tết 2025: 2025-01-29),domestic_vietnam,medium,
,,2025-01-21,tet_proximity,premium_spike,Tết proximity (Tết 2025: 2025-01-29),domestic_vietnam,medium,
,,2025-01-22,tet_proximity,premium_spike,Tết proximity (Tết 2025: 2025-01-29),domestic_vietnam,medium,
,,2025-01-23,tet_proximity,premium_spike,Tết proximity (Tết 2025: 2025-01-29),domestic_vietnam,medium,
,,2025-01-24,tet_proximity,premium_spike,Tết proximity (Tết 2025: 2025-01-29),domestic_vietnam,high,
,,2025-01-25,tet_proximity,premium_spike,Tết proximity (Tết 2025: 2025-01-29),domestic_vietnam,high,
,,2025-01-26,tet_proximity,premium_spike,Tết proximity (Tết 2025: 2025-01-29),domestic_vietnam,high,
,,2025-01-27,tet_proximity,premium_spike,Tết proximity (Tết 2025: 2025-01-29),domestic_vietnam,high,
,,2025-01-28,tet_proximity,premium_spike,Tết proximity (Tết 2025: 2025-01-29),domestic_vietnam,high,
,,2025-01-29,tet_proximity,premium_spike,Tết proximity (Tết 2025: 2025-01-29),domestic_vietnam,high,
,,2026-02-03,tet_proximity,premium_spike,Tết proximity (Tết 2026: 2026-02-17),domestic_vietnam,low,
,,2026-02-04,tet_proximity,premium_spike,Tết proximity (Tết 2026: 2026-02-17),domestic_vietnam,low,
,,2026-02-05,tet_proximity,premium_spike,Tết proximity (Tết 2026: 2026-02-17),domestic_vietnam,low,
,,2026-02-06,tet_proximity,premium_spike,Tết proximity (Tết 2026: 2026-02-17),domestic_vietnam,low,
,,2026-02-07,tet_proximity,premium_spike,Tết proximity (Tết 2026: 2026-02-17),domestic_vietnam,low,
,,2026-02-08,tet_proximity,premium_spike,Tết proximity (Tết 2026: 2026-02-17),domestic_vietnam,medium,
,,2026-02-09,tet_proximity,premium_spike,Tết proximity (Tết 2026: 2026-02-17),domestic_vietnam,medium,
,,2026-02-10,tet_proximity,premium_spike,Tết proximity (Tết 2026: 2026-02-17),domestic_vietnam,medium,
,,2026-02-11,tet_proximity,premium_spike,Tết proximity (Tết 2026: 2026-02-17),domestic_vietnam,medium,
